"id","country_id/id","code","name"
"BG_BLG","base.bg","BLG","Област Благоевград"
"BG_BGS","base.bg","BGS","Област Бургас"
"BG_VAR","base.bg","VAR","Област Варна"
"BG_VTR","base.bg","VTR","Област Велико Търново"
"BG_VID","base.bg","VID","Област Видин"
"BG_VRC","base.bg","VRC","Област Враца"
"BG_GAB","base.bg","GAB","Област Габрово"
"BG_DOB","base.bg","DOB","Област Добрич"
"BG_KRZ","base.bg","KRZ","Област Кърджали"
"BG_KNL","base.bg","KNL","Област Кюстендил"
"BG_LOV","base.bg","LOV","Област Ловеч"
"BG_MON","base.bg","MON","Област Монтана"
"BG_PAZ","base.bg","PAZ","Област Пазарджик"
"BG_PER","base.bg","PER","Област Перник"
"BG_PVN","base.bg","PVN","Област Плевен"
"BG_PDV","base.bg","PDV","Област Пловдив"
"BG_RAZ","base.bg","RAZ","Област Разград"
"BG_RSE","base.bg","RSE","Област Русе"
"BG_SLS","base.bg","SLS","Област Силистра"
"BG_SLV","base.bg","SLV","Област Сливен"
"BG_SML","base.bg","SML","Област Смолян"
"BG_SFO","base.bg","SFO","Област Софийска"
"BG_SOF","base.bg","SOF","Област София"
"BG_SZG","base.bg","SZG","Област Стара Загора"
"BG_TGV","base.bg","TGV","Област Търговище"
"BG_HKV","base.bg","HKV","Област Хасково"
"BG_SHU","base.bg","SHU","Област Шумен"
"BG_JAM","base.bg","JAM","Област Ямбол"
